"","logFC","logCPM","PValue","FDR"
"lp_2666",0.524864682122475,7.80026359211198,0.00182502479358129,0.00645464040413576
"lp_1407",0.523979663692991,7.61376279370899,0.00171201472181841,0.00610370466039607
"lp_0220",0.521226036309379,6.78521510011475,0.00239033577176327,0.00804286230803023
"lp_3042",0.51091209712988,7.36169716449812,0.00150489522934062,0.00546202957009858
"lp_0168",0.510092278849511,7.63823954269401,0.00212061886444923,0.00731316225216603
"lp_0757",0.505258233174258,10.6024881826698,0.00284071006954032,0.00938706282680936
"lp_1869",0.500960669149387,7.8992480376579,0.00287824389185509,0.00948278567941544
"lp_2820",0.491570029442936,6.93474437811769,0.00284953023856836,0.00940217577971737
"lp_1076",-0.497323816081559,7.93737140562093,0.00217271679308649,0.00745797671301316
"lp_0954",-0.507727373747098,7.33202066681454,0.00235704751087564,0.00794292722843023
"lp_2937",-0.515982005652934,7.8106444991497,0.00148679129612848,0.00542299164683434
"lp_2312",-0.51987616719939,7.50546703805293,0.00108900343987932,0.00415698899291865
"lp_1047",-0.522906613182648,11.5920468609795,0.00215378819708942,0.00741599855109795
"lp_2110",-0.52555968144201,8.00718146425946,0.00216695738638029,0.00744975722584777
"lp_2159",-0.52699077376467,7.94008432312057,0.00210526992034951,0.00727155632395292
"lp_2864",-0.527189127164909,7.40068237821181,0.00106753107135975,0.00409621107797311
"lp_2315",-0.530524381159448,9.97314162770569,0.0025535487284444,0.00854011614014488
"lp_0793",-0.532961373862648,7.37107653532677,0.00123700376888816,0.00461065041131041
"lp_2044",-0.533178211331378,7.66070307556285,0.00107529228703816,0.00411173941882985
"lp_0969",-0.53544480301037,7.26758999418787,0.00187669983215689,0.00660083244663462
"lp_0794",-0.53578130778223,7.48803142005714,0.00114446414940609,0.00433877333353609
"lp_3351",-0.538890323688526,8.29526126694867,0.00275870982750967,0.00915709678876522
"lp_3269",-0.539350135503982,7.6356112092871,0.00222655556514382,0.00760381848387447
"lp_3681",-0.544041554970265,8.7898265884811,0.00225488649070208,0.00768049029294523
"lp_3683",-0.546297411113769,8.70267163503721,0.00264802555816149,0.00884272788200534
"lp_2111",-0.54678804199875,8.60406103512127,0.00168648253174097,0.00603210391805252
"lp_1040",-0.549290208099663,11.8836280220349,0.00134473674776124,0.00496207859923899
"lp_1058",-0.551614994829237,10.7550521734391,0.00138133246870646,0.00507175801942968
"lp_2316",-0.552455873639953,9.57680586944067,0.00162426150084134,0.00582838729799468
"lp_3209",-0.554368458498605,9.06439656587988,0.00178592930489199,0.0063264759696494
"lp_1033",-0.559237026998189,12.7955206280403,0.00241728903980977,0.00812121082570383
"lp_0619",-0.561018927205247,13.2543102376262,0.0013565573724312,0.00499736775800778
"lp_1045",-0.561636931288235,10.7073267986714,0.001290774686515,0.00479492475829564
"lp_1036",-0.564118151130032,12.4567069598736,0.00210179331978313,0.00727089126562478
"lp_2786",-0.56861397083452,7.64827208048597,0.00049586636494047,0.00207532728162231
"lp_1041",-0.568849530008073,10.7437372856078,0.000618221005251027,0.00251145193692803
"lp_0209",-0.57136394364292,7.32386652992755,0.000925625697129196,0.00360164374946229
"lp_2321",-0.572237655628073,6.51658874473347,0.00191080214853332,0.0066938543621088
"lp_1046",-0.573768522292715,11.4050879386376,0.000832571372521501,0.00327991640349218
"lp_1594",-0.574500859029045,11.898187017659,0.00222159702497811,0.00760218827403638
"lp_0190",-0.579810064164924,6.71637914688661,0.000743619189020452,0.00297716615640376
"lp_1355",-0.582470417174969,6.97061967421312,0.000555211264216826,0.00227636618328899
"lp_1034",-0.584000317016462,12.0881816364078,0.00105368874543988,0.00405011611528456
"lp_1413",-0.584208421552549,9.02486211849473,0.00185173009815173,0.00652823318042664
"lp_2868",-0.585209174146019,7.07821333562271,0.000309596628759975,0.00136543214357487
"lp_1039",-0.586344938598525,11.7774113830974,0.000557288255375694,0.00228065840554859
"lp_1035",-0.587273873492624,11.7771554958297,0.000810392354988692,0.00320967562423071
"lp_1038",-0.590076411370437,11.3984079541273,0.000527333321385896,0.00218227284775397
"lp_3414",-0.591765848218508,5.55188129885313,0.00201250391508082,0.00700579193080022
"lp_0362",-0.594946519248608,8.96212952030801,0.000939987237781869,0.00365110832359484
"lp_1515",-0.595591830602128,11.5026636782022,0.00160081012304079,0.00576291644294685
"lp_2526",-0.596887507524916,8.32531770579788,0.000767402338723233,0.00306683894933797
"lp_3407",-0.599262393684952,9.25013401901481,0.000628245238668586,0.00254749992383196
"lp_1741",-0.61247007798175,7.77121878007585,0.000239245181661297,0.0010854279348322
"lp_1458",-0.614123424087238,6.72734337352256,0.000635076318170753,0.00257049171559424
"lp_0010",-0.614564713773556,12.9305434130976,0.00116720349947757,0.00439487848272678
"lp_0750",-0.616196203223867,6.42979489191027,0.000391687266369228,0.00169043978117246
"lp_1043",-0.618450616340275,10.9685685360642,0.000337340360990072,0.00147596031139224
"lp_0690",-0.619572984142658,9.0984273818653,0.000923400705099591,0.00359931190332833
"lp_0344",-0.620696452991155,9.36385061648668,0.000550787683025577,0.00226241916552621
"lp_1863",-0.62543513455961,6.54409498829377,0.000205784748299522,0.000947208799865162
"lp_0770",-0.629452195934368,5.97783674793781,0.00129945138984768,0.00481907098345522
