ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_2179	3606	3918	2713	3510	2859	3865	2857	3492
lp_2180	7343	7528	5693	6705	5536	6945	5670	6658
lp_2181	2656	2356	2150	2247	2593	2205	2153	2301
lp_2182	911	979	795	867	1176	929	774	884
lp_2183	2390	2584	1792	2334	1920	2509	2168	2331
lp_2185	3229	3398	2512	2815	2571	3163	3366	3439
lp_2187	34066	38592	34078	35902	32861	38679	42742	39375
lp_2189	19174	20639	15929	17446	16395	18543	13737	15077
lp_2190	7590	8135	6783	7301	7305	8330	6206	7229
lp_2191	1949	1931	1765	1848	2090	1959	1683	1849
lp_2192	5977	5979	5176	5625	5463	5977	5028	5531
lp_2193	14807	15419	13473	15074	13113	15896	13888	15465
lp_2194	13507	13955	12598	14380	12872	14599	12740	13715
lp_2195	2918	2834	2231	2234	3103	3331	2164	2726
lp_2196	4560	4195	3291	3681	4364	5065	2973	4016
lp_2197	5296	5350	3797	4173	5151	6023	3706	4962
lp_2199	4887	4950	3580	3235	4559	4909	3247	3264
lp_2200	10792	11475	7421	9018	10053	13359	7856	9940
lp_2201	1085	998	770	951	1299	985	734	831
lp_2202	2433	1787	1361	2078	2441	2318	1260	2308
lp_2203	1207	844	586	954	1294	896	428	855
lp_2205	1179	1248	1031	913	1363	1333	1079	882
lp_2206	772	1009	1105	1316	698	992	1053	1224
lp_2210	3828	4172	2564	2651	2649	3598	2815	2898
lp_2211	1737	2141	1368	1292	1815	1726	1724	1620
lp_2212	646	903	845	911	544	713	803	711
lp_2213	1564	1750	1161	1060	1421	2058	1663	1566
